"Region","2.5%","50%","97.5%","Mean","Cases","Deaths"
"Denmark",0.470748800838669,0.978669993038001,1.78981200644538,1.02048401287504,843,8
"Djibouti",0.382244926506216,1.0747182517599,2.35591577186788,1.14794040084608,386,4
"Dominican Republic",0.994419125856691,1.10177389192616,1.22160908068297,1.10395227100201,32122,354
"Ecuador",3.84993860155898,4.08366225822739,4.32936216243044,4.08594776182993,25847,1057
"Egypt",6.73061135092224,7.04379450403397,7.37133268777395,7.04639833178398,24636,1738
"El Salvador",2.37706253357017,2.69184906438357,3.0343502446323,2.69667398032284,9008,243
"Equatorial Guinea",1.0909208378258,1.75157110297243,2.60717065294112,1.77971744540883,1070,19
"Eritrea",0.029066957267916,0.611431646586091,3.39217906361999,0.892509599704259,62,0
"Estonia",0.0322842473781026,0.721847876060061,3.71205567583708,1.03980195187754,49,0
"Eswatini",1.18618830428371,1.75218442507042,2.49261588882327,1.77805371546291,1592,28
"Ethiopia",1.22199537479812,1.45383087925924,1.71087917436142,1.45791812953177,9354,136
"Fiji",0.0528812447409679,1.30678303734414,6.62508283080749,1.84486424137532,9,0
"Finland",0.0925163054366708,0.71378153847403,2.37529648992965,0.853152118716391,190,1
"France",1.80565244611395,1.99669693765199,2.19964023618053,1.99815070933422,19014,380
"Gabon",0.181486231034773,0.418280945752054,0.782800032738534,0.434129064017388,1795,7
"Gambia",0.865444283672098,2.06228514063078,3.92354474407679,2.15726148745449,277,6
"Georgia",0.0861512370149129,0.636580075381789,2.09904252174234,0.760171573356047,217,1
"Germany",0.971205274727864,1.1499232441158,1.35410423992033,1.1523565439839,12289,141
"Ghana",0.259753456454598,0.340052346630778,0.435245503174503,0.341925080492912,16665,56
"Greece",0.668394780009169,1.27874911017911,2.16198586705325,1.30864441328977,870,11
"Guatemala",3.34495299185876,3.55780468346069,3.77725596302337,3.558464475622,28355,1009
"Guinea",0.433004661151352,0.774057984520859,1.23858142421425,0.790326428108225,1735,13
"Guinea-Bissau",0.17340517773433,0.76159980497931,2.1134886620902,0.858561784890967,300,2
"Guyana",2.13219825604346,4.42808651695887,7.91064792147505,4.57890545430269,151,8
"Haiti",2.88534803924758,3.80934277317554,4.91631010274527,3.83602372760279,1365,53
"Honduras",3.18634849818357,3.42657059307132,3.68080713039639,3.42794383675671,20902,717
"Hungary",1.80135240655278,3.3799111847822,5.66911707478061,3.48904107590533,301,11
"Iceland",0.0498246404311989,1.07242241939777,5.60134352944383,1.54835476595962,15,0
"India",1.75818999219479,1.78499103953512,1.81321301880105,1.78505714093715,897663,16025
"Indonesia",4.25006919309237,4.43127956774815,4.61738253581859,4.43197769749812,45666,2025
"Iran",7.56168220330788,7.76306066039265,7.96880529338153,7.76434654014207,68611,5330
"Iraq",3.7705100026789,3.91422209046779,4.05998508402815,3.91415716564832,66223,2592
"Ireland",3.88989388270695,5.73868457828593,8.06910591842455,5.79954327021756,456,28
"Israel",0.346478431247702,0.405217059148535,0.469276269909835,0.405580051788077,41049,166
"Italy",5.42017779832903,5.99075099354017,6.60553690391709,5.99614535498083,5910,356
"Jamaica",0.0208583362834541,0.348657725686326,1.73888692375707,0.485504225499101,153,0
"Japan",0.150263176322889,0.218552976271258,0.307107806496208,0.221151339477268,13501,29
"Jordan",0.655058857885489,2.80742107628946,7.26372919999444,3.09865453443063,50,2
"Kazakhstan",0.874375540855825,0.946702696596303,1.02354377224897,0.947007459554608,63884,605
"Kenya",1.04980401854852,1.23689809807724,1.43933551092514,1.23939030612973,12215,151
"Korea, South",0.792536479121326,1.28131905603403,1.96302194120685,1.3078551353787,1401,18
"Kosovo",2.49259913494056,2.93984670883457,3.43327092293889,2.94457370164444,4774,141
"Kuwait",0.376326727450971,0.466258209244614,0.572162742750325,0.468502726455098,18954,88
"Kyrgyzstan",4.23306719584719,4.47056637777183,4.70567694724837,4.47149928521806,28338,1268
"Laos",0.0617111697045705,1.44428493175212,7.55968956547931,2.07655529511854,1,0
"Latvia",0.159661386742616,1.14227668647184,3.65762751004112,1.34174781654495,102,1
"Lebanon",0.572622180931646,0.903605689644694,1.34850521138427,0.918225414096468,2245,20
"Lesotho",1.3346150678801,2.41898278936467,3.95935086627677,2.48416551375188,478,12
"Liberia",5.98355636482889,8.2719522188256,11.104046537631,8.35809612653244,397,36
"Libya",1.44742737714368,1.95890271216147,2.57711229037892,1.97010461299324,2193,43
"Liechtenstein",0.0562583574320972,1.37561870259583,7.42374315141883,2.00565356259157,5,0
"Lithuania",0.229598123519468,1.04548491587415,2.81711846627018,1.16957275864284,210,2
"Luxembourg",0.0504638615263826,0.169481695480406,0.410556085630586,0.185198439846199,2076,3
"Madagascar",0.734309874661167,0.926547228220562,1.15286892572815,0.931203364932802,7890,73
"Malawi",2.86707074858079,3.54383381802881,4.32100909962518,3.55647659974759,2485,89
"Malaysia",0.3202551937433,1.03880956719509,2.47601559465551,1.14220157468161,304,3
"Maldives",0.233810974989779,0.552175911029238,1.07827766054918,0.580241617569271,1145,6
"Mali",1.09624472540622,2.25106500403225,4.02625969265105,2.33598909009547,339,8
"Malta",0.036067109875488,0.823862386923989,4.38740728534864,1.1698370020454,38,0
"Mauritania",0.974976177326603,1.43571388283366,2.02197275795691,1.45343517397108,1886,27
"Mauritius",0.0502453712733803,1.38041689536824,7.70592711337098,2.06098468068615,3,0
"Mexico",9.5462617621131,9.68509021355712,9.82254559913101,9.6853798264003,176608,17107
"Moldova",2.62334800006668,3.00287269562977,3.41626454991506,3.00555108873,6908,208
"Monaco",0.0473795807536653,1.13479582555099,6.01701556955385,1.6423545675916,14,0
"Mongolia",0.028104510010204,0.567980389014589,3.19528911904558,0.836891988388638,71,0
"Montenegro",0.964648347519643,1.37879582935384,1.88768645261091,1.39003703707917,2401,33
"Morocco",0.914337746025278,1.11897292910227,1.34198306179952,1.12157807191972,8854,99
"Mozambique",0.252400092490714,0.644368413694537,1.33395413860286,0.682206110335423,831,5
"Namibia",0.228641099821113,0.495375129536969,0.89246069999583,0.511753142518757,1712,8
"Nepal",0.235654988804488,0.371818634314145,0.553921891272815,0.378094859819914,5499,20
"Netherlands",0.709611842977918,1.01440029627754,1.40878617634327,1.02574346326568,3164,32
"New Zealand",0.0377527120539369,0.892407322591603,4.61942125445697,1.27381142947763,31,0
"Nicaragua",1.95607780280878,2.79915805905693,3.81071877719006,2.82684586152162,1153,33
"Niger",0.59315499087002,2.62535228908023,7.04368388365857,2.9463397782552,57,2
"Nigeria",1.52976872446627,1.7275578062372,1.93119793913065,1.72913458722355,16110,278
"North Macedonia",3.63225542349168,4.21587250055154,4.85772951028589,4.22634905718066,3981,169
"Norway",0.706606214670877,1.79291196897295,3.67422476500706,1.90293323021997,271,5
"Oman",0.523081525580996,0.5977085362315,0.679775312508823,0.598758552555518,37834,226
"Pakistan",2.26082510489564,2.37866147913403,2.50223148898585,2.38028868884377,61755,1470
"Panama",2.32703363757458,2.50559074439762,2.69024940783352,2.50632741160607,28673,718
"Papua New Guinea",0.03138738165498,0.694326439424589,3.714235695823,1.00390612717226,52,0
"Paraguay",0.775392330981896,1.15129827231484,1.60710491113832,1.16244575909959,2453,28
"Peru",7.97232337220806,8.13482329906302,8.2973103567886,8.13572142342058,109792,8935
"Philippines",1.36824924410443,1.47577953902448,1.58655124311135,1.47652822156112,46159,681
"Poland",2.01382157759567,2.29884670713547,2.62319861591327,2.30458849907065,9511,219
"Portugal",1.49410971819525,1.76609139527595,2.05785346832267,1.7691691824753,8269,146
"Qatar",0.29761280482946,0.395028693914906,0.509252443523847,0.39720620058072,13792,54
"Romania",2.68743557306108,2.92751973008116,3.16486230189433,2.92599996551218,20083,588
"Russia",2.31272128364879,2.38561813190353,2.45909608042836,2.38563305264815,175131,4177
"Rwanda",0.113263636821364,0.384940157554624,0.950615958133421,0.421847846206298,901,3
"Saint Kitts and Nevis",0.0557566491888343,1.45824456190842,8.4958395151362,2.18012415078997,2,0
"Saint Lucia",0.0502637988756071,1.37107847335014,7.43047564370196,1.97681246321385,5,0
"Saint Vincent and the Grenadines",0.0419996059483324,1.00913084402868,5.3823455014732,1.4542065729987,23,0
"San Marino",0.0512937582434016,1.38564161927164,7.3236419745407,2.01701162587357,1,0
"Sao Tome and Principe",0.122823095822622,0.845730936035464,2.81495779483075,1.00038289334291,153,1
"Saudi Arabia",1.34554360054034,1.42477260432123,1.50798433831822,1.42526210148974,80008,1140
"Senegal",2.29276906190983,2.83019479281413,3.46993158569978,2.84172038993223,3012,86
"Serbia",2.44169165134614,2.74530690610086,3.09211743054958,2.74897049699645,9956,274
"Seychelles",0.0412588669137634,0.846459195687104,4.50644819681354,1.22228545419571,33,0
"Sierra Leone",0.755299456039984,1.78307839014265,3.49412040275865,1.87260514165439,324,6
"Singapore",0.0108387170231492,0.026321248453409,0.078066740713957,0.0311231483898894,7290,1
"Slovakia",0.013990048637018,0.127966408719974,0.683507823565755,0.186903441057096,537,0
"Slovenia",0.515405466690622,1.21402876533596,2.36839526716448,1.27593929732988,501,6
"Somalia",0.317391876483201,1.09869607304624,2.62129492902901,1.19884745604645,288,3
"South Africa",1.449236461936,1.49079024554816,1.53431015468623,1.49090310196051,308552,4600
"South Sudan",1.21505018395854,2.54189461020101,4.5289714799426,2.62849213441741,298,8
"Spain",0.208422545032074,0.260063502007433,0.320237673382397,0.261190647692176,31339,81
"Sri Lanka",0.0128399338773463,0.0933104511203512,0.45949796031351,0.131274833734579,763,0
"Sudan",5.7388177446783,6.72595129604075,7.79647943268883,6.73772830908025,2239,153
"Suriname",0.60023399773459,1.11487378914971,1.86669065707638,1.14933775475682,995,11
"Sweden",3.00636520274893,3.33543128467975,3.68611762722732,3.33750363722203,11043,369
"Switzerland",0.312839198709903,0.537110920898523,0.84392337763507,0.547226959196095,2895,15
"Syria",4.79237154851095,6.89838351242453,9.47452504164465,6.95812091451875,415,31
"Taiwan*",0.0427366530320549,1.02065168536545,5.74503760166464,1.51929952975382,20,0
"Tajikistan",0.282587419704615,0.6089672699607,1.10143959697877,0.629040543722406,1376,8
"Thailand",0.022815667740328,0.403564290436216,2.14497619039134,0.581885557013355,126,0
"Togo",0.558779573542318,1.59762711722007,3.49884543344227,1.71224796185155,246,4
"Trinidad and Tobago",0.0427130190683199,0.940094164137974,5.0029449152338,1.37334274772705,23,0
"Tunisia",0.0173706870225319,0.202502696640062,1.05871356775189,0.289947454633292,294,0
"Turkey",1.67811156790767,1.83083349893628,1.99044685141127,1.83170122455062,28076,514
"Uganda",0.216391120958141,0.929513034393555,2.60908846851414,1.04490258940992,246,2
"Ukraine",1.91024359625686,2.09195467508741,2.28916186944036,2.09409963631586,22776,477
"United Arab Emirates",0.209111260465398,0.299312556539284,0.410127203467336,0.302009400936304,10879,32
"Uruguay",1.2550417260056,2.62869854565537,4.699417257376,2.72423846928752,282,8
"US",1.25519582871463,1.27210159954243,1.28884491984026,1.27206872295587,1720789,21893
"Uzbekistan",0.607293016660142,0.7461790002538,0.905066260577832,0.748728705231118,13196,98
"Venezuela",0.765036063803723,0.934589859487025,1.12342601137675,0.937551598653135,10739,100
"Vietnam",0.0270851552983281,0.512788541714336,2.86773798829018,0.751182476980104,91,0
"West Bank and Gaza",0.656858321421538,0.838126175770249,1.0456266111492,0.841208668870768,8510,71
"Yemen",25.7306818876446,29.3385211359614,33.1457087130044,29.3448147612657,545,172
"Zambia",2.86129873068926,3.43861438859928,4.09442496219108,3.44944698972064,3408,118
"Zimbabwe",1.03438471695346,1.48554767277445,2.03049067465603,1.49761992573376,2226,33
